Districts,Initial Latrines,Initial Household,Initial Population,Current Latrines,Current Household,Current Population,Baseline,Harvest
ce Chibombo District,20722,31963,174534,28543,35005,175856,113153,39291
ce Chisamba District,9398,15269,80763,9974,13987,76390,49709,3146
ce Chitambo District,3622,5877,32242,5294,6647,39076,19871,9829
ce Kapiri-Mposhi District,14217,17316,110826,16577,18228,112277,90992,14537
ce Luano DIstrict,2358,2704,16084,2317,3837,15830,14026,-169
ce Mkushi District,6344,10695,40403,7065,8767,43743,23966,3597
ce Mumbwa District,17608,23095,149065,23203,25320,167525,113650,37018
ce Ngabwe District,1107,1202,6575,898,1051,6046,6055,-1202
ce Serenje District,10476,13084,68706,11698,12166,64339,55011,6462
co Lufwanyama District,2907,4652,24245,3837,5403,29000,15151,4992
co Masaiti District,4109,5738,28261,4947,6358,32366,20238,4266
co Mpongwe District,3752,4653,25887,4717,5532,27838,20874,4856
ea Chadiza District,8537,13359,171768,8357,14365,83989,109767,-1052
ea Chipata District,12628,20796,99132,13743,22993,101113,60196,4903
ea Katete District,8053,18893,97008,12971,18925,100736,41349,26178
ea Lundazi District,15938,27932,133673,22144,27744,136344,76274,30499
ea Mambwe District,6232,9360,49041,7420,10242,53091,32652,6158
ea Nyimba District,10414,12787,64641,11394,13605,68400,52645,4927
ea Petauke District,9755,15824,88540,14097,16307,90119,54582,23996
ea Sinda District,9666,16947,83765,16253,18496,97221,47777,34623
ea Vubwi DIstrict,6124,8906,47144,6160,9249,48607,32417,189
ls Chilanga District,3788,5574,26268,4991,6759,35497,17851,6318
ls Chongwe District,13696,19152,101060,17126,23918,127837,72270,18333
ls Kafue District,5061,7432,37557,5040,7491,57316,25575,-161
ls Rufunsa District,6278,7977,33659,7355,9757,43739,26490,4828
ls Shibuyunji District,6809,9694,58860,8732,9544,61320,41343,12355
lu Chembe District,2304,3404,17677,2719,4093,18155,11965,1841
lu Chiengi District,17941,21739,111874,34658,34580,181914,92329,87943
lu Chipili District,1605,1992,10879,1983,2569,13524,8765,1990
lu Kawambwa District,9091,13687,54162,12032,12287,66292,35975,15868
lu Lunga District,1861,3332,16056,3195,3644,16259,8968,5952
lu Mansa District,9428,12073,59202,12877,15030,76958,46232,17660
lu Milenge District,2832,3905,22343,3846,5377,30445,16204,5741
lu Mwansabombwe District,6972,7854,40573,7457,8410,46665,36017,2691
lu Mwense District,13363,17625,87272,19116,18951,109759,66168,33320
lu Nchelenge District,26046,35370,162580,33772,37930,188809,119722,38459
lu Samfya District,19836,26603,130326,24559,27175,140439,97175,24408
mu Chinsali District,4843,8264,37276,6581,9923,39588,21845,6934
mu Isoka District,9191,13384,64125,13072,18174,81793,44036,17467
mu Mafinga District,960,968,4744,1116,1072,5646,4705,822
mu Mpika District,11647,19196,78688,9339,12771,66114,47743,-11948
mu Shiwangâ€™andu District,4657,6271,30181,4989,6336,30572,22413,1602
no Kaputa District,10494,12440,62178,11538,13892,68205,52451,5126
no Kasama District,20495,30123,129054,25682,30037,137046,87805,23666
no Luwingu District,14380,18785,98442,17646,19632,102185,75358,17000
no Mbala District,17975,29155,103756,19520,22891,110802,63969,7478
no Mporokoso District,12377,13897,70296,12676,13454,70738,62607,1572
no Mungwi District,13375,17210,90065,16113,18911,86790,69995,12566
no Nsama District,7985,10285,52336,11824,12783,63600,40632,19100
nw Ikelenge District,2206,2992,17240,2853,3430,21398,12711,4036
nw Kasempa District,4639,5621,40264,4860,5611,31638,33230,1246
nw Mwinilunga District,4653,6912,38620,5472,7483,42250,25998,4624
nw Solwezi District,2976,5352,23623,3815,4898,27036,13136,4631
so Chikankata District,9235,12515,69721,8819,11272,63701,51448,-2351
so Choma District,18161,24254,151813,21970,25146,160538,113675,24318
so Gwembe District,2969,7663,41421,4937,8830,47465,16048,10579
so Kalomo District,14714,22034,133474,17202,22725,147490,89132,16148
so Kazungula District,8531,16427,87777,12674,17856,97101,45585,22530
so Mazabuka District,10239,17892,90021,12050,19188,94920,51516,8959
so Monze District,16921,25495,160502,19075,24961,164424,106525,14189
so Namwala District,11604,16529,99206,13048,18266,99722,69646,7883
so Pemba District,6884,10063,63304,10111,11951,76545,43306,20669
so Siavonga District,615,1315,6527,619,1323,6498,3053,20
so Sinazongwe District,4870,16622,87729,6912,17073,94677,25703,11324
so Zimba District,6916,15319,71111,12335,14454,123763,32104,46400
we Mongu District,843,1517,7421,837,1503,7386,4124,-29
